STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC
42,Pennsylvania,0659,07/20/1999,22,
42,Pennsylvania,0601,07/20/1999,0,
42,Pennsylvania,0602,07/20/1999,12,
42,Pennsylvania,0605,07/21/1999,14,
10,Delaware,0203,06/15/1999,0,0
10,Delaware,0211,06/16/1999,0,0
10,Delaware,0205,06/16/1999,17,30
10,Delaware,0201,06/16/1999,0,0
10,Delaware,0260,06/16/1999,0,0
10,Delaware,0207,06/15/1999,0,0
10,Delaware,0259,06/10/1999,0,0
10,Delaware,0208,06/14/1999,0,0
10,Delaware,0210,06/14/1999,0,0
10,Delaware,0212,06/14/1999,0,0
10,Delaware,0202,06/14/1999,0,0
10,Delaware,0206,06/15/1999,0,0
42,Pennsylvania,9027,09/09/1999,0,
42,Pennsylvania,3044,09/02/1999,0,16
9,Connecticut,4008,07/01/1999,46,
54,West Virginia,4003,12/08/1999,0,
37,North Carolina,0204,12/15/1999,0,0
37,North Carolina,0259,12/15/1999,0,0
37,North Carolina,0212,11/17/1999,0,0
37,North Carolina,0207,11/16/1999,0,0
37,North Carolina,0260,11/17/1999,0,0
37,North Carolina,0211,11/17/1999,0,0
37,North Carolina,0202,11/16/1999,0,0
37,North Carolina,0203,11/16/1999,0,0
37,North Carolina,0201,11/09/1999,0,0
37,North Carolina,0205,11/09/1999,0,0
37,North Carolina,0206,11/16/1999,0,0
37,North Carolina,0201,09/19/2002,0,3
42,Pennsylvania,0605,08/13/2002,25,
42,Pennsylvania,0659,08/13/2002,0,
42,Pennsylvania,0601,08/13/2002,13,
42,Pennsylvania,0602,08/14/2002,18,
34,New Jersey,4042,06/02/2002,0,
42,Pennsylvania,1623,11/14/2002,8,8
10,Delaware,0260,10/24/2002,0,0
10,Delaware,0203,10/23/2002,0,0
10,Delaware,0207,10/23/2002,0,0
10,Delaware,0259,10/22/2002,0,0
10,Delaware,0204,10/22/2002,0,0
10,Delaware,0208,10/22/2002,0,0
10,Delaware,0212,10/22/2002,0,0
10,Delaware,0202,10/23/2002,0,0
89,Quebec,3015,09/23/1997,0,0
42,Pennsylvania,0601,08/27/1997,0,
42,Pennsylvania,0602,08/27/1997,12,
42,Pennsylvania,0605,08/21/1997,7,
42,Pennsylvania,0659,08/27/1997,11,
42,Pennsylvania,1606,10/01/1997,9,
42,Pennsylvania,C411,10/01/1997,0,
42,Pennsylvania,C410,10/02/1997,10,
42,Pennsylvania,C430,10/02/1997,18,
10,Delaware,0202,06/30/1997,0,0
10,Delaware,0203,07/01/1997,0,0
10,Delaware,0206,06/30/1997,0,0
10,Delaware,0207,07/01/1997,0,0
10,Delaware,0201,06/25/1997,0,0
10,Delaware,0204,06/23/1997,0,0
10,Delaware,0208,06/24/1997,0,0
