STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
29,Missouri,0663,11/10/2004,2,0,0,0,56.40000153,507.7999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.2000122,0,0,,3.700000048,0,0
29,Missouri,0606,11/12/2004,4,0,0,0,564.2000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPRAY PATCHING PRESENT COVERING TRANSVERSE CRACKS - POOR CONDITION,3.700000048,0,0
29,Missouri,0665,11/12/2004,4,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,,3.599999905,0,0
19,Iowa,0608,10/27/2004,4,0,305,0,0,259.2999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,304.7999878,0
19,Iowa,0607,10/27/2004,5,0,244.3999939,0,0,291.7999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28.10000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,296.3999939,0
17,Illinois,A350,09/02/2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.79999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,0
17,Illinois,A310,09/01/2004,2,101.9000015,4.900000095,0,0,0,0,0,0,0,0,0,0,0,0,0,111.5,111.8000031,76.30000305,0,0,0,35,0,0,16.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,179.3000031,0
17,Illinois,A340,09/02/2004,1,289.7999878,0,0,0,0,381.2999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.400000095,304.7999878,0
17,Illinois,A330,09/02/2004,3,274.5,0,0,289.7999878,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,304.7999878,0
39,Ohio,0104,09/01/2004,1,0,100.6999969,37,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8000031,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,304.7999878,0
39,Ohio,0901,09/29/2004,1,139.6999969,50.59999847,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5999985,9.199999809,0,0,0,0,1,0,0,1.100000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,301.2999878,0
39,Ohio,0111,09/01/2004,1,53.5,32.09999847,13.80000019,0,0,0,0,0,0,0,0,0,0,0,0,6,54.29999924,238,0,0,0,2,0,0,1.600000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8000031,0,0,,3.700000048,259.2999878,0
39,Ohio,0902,09/29/2004,1,1.299999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,6.599999905,0
46,South Dakota,0605,10/13/2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.1000061,3.099999905,0,0,0,0,27,10,0,41,31.79999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOME REFLECTIVE PATCHING NOT RATED,3.700000048,0,54.70000076
46,South Dakota,0602,10/13/2004,9,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.1000061,0,0,0,0,0,22,6,3,38,20.29999924,10.80000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,2,56.70000076
17,Illinois,0602,10/19/2004,8,2.900000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.7999878,1.299999952,305,0,0,0,4,15,6,12.69999981,53.70000076,22.10000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,28,86.80000305
21,Kentucky,B320,08/17/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,0
21,Kentucky,B340,08/17/1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000024,0,0,0,0,,3.700000048,0,0
21,Kentucky,B350,08/17/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,0
21,Kentucky,A350,08/18/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,0
17,Illinois,9327,04/04/1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.100000381,0,152.5,0,0,0,11,1,0,34.29999924,3.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N0 SHEET #3,3.799999952,0,35.09999847
