STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_CRACKING_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC
48,Texas,N330,12/06/1990,2,0,0,0
48,Texas,N350,12/06/1990,0,0,0,0
48,Texas,M340,10/15/1990,0,0,0,0
48,Texas,M350,10/15/1990,0,0,0,0
48,Texas,N310,12/06/1990,0,0,0,0
48,Texas,M330,10/15/1990,0,0,0,0
48,Texas,M350,12/06/1990,0,0,0,0
48,Texas,M310,10/15/1990,0,0,0,0
48,Texas,M320,10/15/1990,0,0,0,0
48,Texas,M340,12/06/1990,0,0,0,0
48,Texas,M310,12/06/1990,0,0,0,0
48,Texas,M320,12/06/1990,0,0,0,0
48,Texas,M330,12/06/1990,0,0,0,0
48,Texas,M350,04/09/1991,0,0,0,0
48,Texas,M320,04/09/1991,0,0,0,0
48,Texas,M330,04/09/1991,0,0,0,0
48,Texas,M340,04/09/1991,1,0,0,0
1,Alabama,0106,02/20/2004,35,5,0,0
1,Alabama,0108,02/19/2004,52,17,260,0
1,Alabama,0109,02/19/2004,50,21,139,0
1,Alabama,0110,02/19/2004,42,15,135,0
1,Alabama,0111,02/19/2004,48,16,114,0
1,Alabama,0112,02/20/2004,20,3,0,0
1,Alabama,0161,02/24/2004,55,17,184,0
1,Alabama,0162,02/20/2004,21,3,0,0
48,Texas,M310,04/09/1991,0,0,0,0
48,Texas,M330,08/29/1991,0,0,0,0
48,Texas,M340,08/29/1991,1,1,0,0
48,Texas,M350,08/29/1991,0,0,0,0
48,Texas,M320,08/29/1991,0,0,0,0
48,Texas,L350,12/12/1989,1,0,2259,73
48,Texas,M350,02/16/1993,0,0,0,0
48,Texas,M310,08/29/1991,0,0,0,0
48,Texas,L340,12/12/1989,1,0,825,118
48,Texas,L310,12/12/1989,0,0,412,0
48,Texas,L320,12/12/1989,0,0,949,0
48,Texas,L330,12/12/1989,4,0,1185,717
48,Texas,L350,12/13/1990,0,0,686,0
48,Texas,L320,12/13/1990,0,0,856,0
48,Texas,L330,12/13/1990,4,0,2886,1057
48,Texas,L340,12/13/1990,1,0,1500,253
48,Texas,L310,12/13/1990,0,0,980,0
48,Texas,L330,06/13/1991,1,0,2588,94
48,Texas,L340,06/13/1991,3,0,1711,527
48,Texas,L350,06/13/1991,0,0,1362,0
48,Texas,L320,06/13/1991,1,0,,149
48,Texas,K350,10/10/1990,8,0,0,1362
48,Texas,L310,07/09/1993,0,0,558,0
48,Texas,L310,06/13/1991,0,0,0,0
48,Texas,K340,10/10/1990,29,5,0,4975
48,Texas,K310,10/10/1990,4,0,0,
48,Texas,K320,10/10/1990,4,0,125,1008
48,Texas,K330,10/10/1990,1,0,0,42
48,Texas,K351,12/11/1990,0,0,0,0
48,Texas,K330,12/11/1990,1,0,0,
48,Texas,K340,12/11/1990,27,6,0,
48,Texas,K350,12/11/1990,0,0,0,0
48,Texas,K320,12/11/1990,0,0,0,0
48,Texas,K340,03/27/1991,32,5,0,
48,Texas,K350,03/27/1991,0,0,0,0
40,Oklahoma,B320,08/18/1997,12,1,1940,1912
40,Oklahoma,B330,08/18/1997,30,2,2304,3918
40,Oklahoma,B350,08/18/1997,14,2,1441,1791
40,Oklahoma,B360,08/18/1997,7,0,1777,1750
48,Texas,G310,07/15/1997,39,28,66,0
48,Texas,G320,07/15/1997,1,0,49,0
48,Texas,G330,07/15/1997,1,0,0,10
48,Texas,G350,07/15/1997,0,0,0,0
40,Oklahoma,4154,03/29/2005,8,1,87,0
35,New Mexico,0106,04/11/2005,1,0,0,125
35,New Mexico,0107,04/11/2005,10,0,62,1666
35,New Mexico,0108,04/11/2005,1,0,0,208
35,New Mexico,0109,04/11/2005,1,0,0,35
35,New Mexico,0110,04/12/2005,0,0,0,0
35,New Mexico,0111,04/12/2005,0,0,0,0
35,New Mexico,0112,04/12/2005,1,0,0,49
1,Alabama,0502,04/21/2005,52,7,2564,0
48,Texas,0167,03/17/1998,0,0,0,0
40,Oklahoma,0113,12/02/1997,0,0,0,0
40,Oklahoma,0114,12/01/1997,0,0,0,0
40,Oklahoma,0115,12/02/1997,0,0,0,0
40,Oklahoma,0116,12/01/1997,0,0,0,0
40,Oklahoma,0117,12/02/1997,0,0,0,0
40,Oklahoma,0118,12/01/1997,0,0,0,0
40,Oklahoma,0119,12/02/1997,0,0,0,0
40,Oklahoma,0120,12/02/1997,0,0,0,0
40,Oklahoma,0121,12/02/1997,0,0,0,0
40,Oklahoma,0122,12/02/1997,0,0,0,0
40,Oklahoma,0123,12/02/1997,0,0,0,0
40,Oklahoma,0124,12/02/1997,0,0,0,0
40,Oklahoma,0160,12/01/1997,0,0,0,0
48,Texas,1113,07/14/1997,0,0,0,0
48,Texas,1116,07/14/1997,30,16,191,0
48,Texas,1168,07/16/1997,36,17,52,0
48,Texas,3579,07/16/1997,10,7,2009,485
12,Florida,3995,01/17/1996,14,1,849,2273
48,Texas,0901,11/14/1997,0,0,0,0
48,Texas,0902,11/14/1997,0,0,0,0
48,Texas,0903,11/14/1997,0,0,0,0
1,Alabama,4126,12/05/1997,3,1,45,0
1,Alabama,3998,12/03/1997,0,0,0,0
