STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_TOTAL_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,MAP_CRACK_NO,MAP_CRACK_A,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,CONST_JOINT_NO_L,CONST_JOINT_NO_M,CONST_JOINT_NO_H,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUNCHOUTS_NO_L,PUNCHOUTS_NO_M,PUNCHOUTS_NO_H,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,PUMPING_NO,PUMPING_L,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,OTHER,SURVEY_WIDTH
48,Texas,5024,09/09/2014,2,0,0,0,0,0,0,1.700000048,0,0,0.699999988,0,0,139,58,56,25,198.8000031,208.8000031,93.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299999952,0,0,0,0,,0,MOST TRANSVERSE CRACKS WERE SEALED,3.700000048
51,Virginia,5008,06/01/2014,2,0,0,0,0,0,0,8,0,0,0,0,0,292,292,0,0,1028.199951,0,0,1,563.9000244,0,0,0,0,0,0,0,0,8,0,0,8.800000191,0,0,0,0,0,0,0,19,0,0,0,0,1.299999952,0,0,2,198.5,NEW AC PATCHING.  MODERATE AND HIGHOUT PUNCHOUTS REPAIRED BY THE PATCHING.,3.700000048
48,Texas,3845,06/03/2014,2,0,0,0,0,0,0,0,0,0,0,0,0,115,65,49,1,238,186.1999969,3.799999952,0,0,0,0,0,0,0,0,0,0,1,0,0,0.100000001,0,0,0,0,0,0,0,0,0,0,3.900000095,0,0,0,0,2,305,,3.799999952
48,Texas,5328,06/03/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,135,9,82,44,33.79999924,301.2000122,166.8000031,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152.5,2,305,,3.799999952
48,Texas,5336,06/05/2014,1,0,0,0,0,0,0,116.8000031,0,0,0,0,0,171,2,165,4,7.400000095,601.7000122,14.80000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,39,0,0,0,0,0,2,305,,3.700000048
48,Texas,5317,08/08/2014,2,0,0,0,0,0,0,0,0,0,0,0,0,89,27,43,19,94.5,153.6000061,67.90000153,0,0,0,0,152.5,0,1,0,0,0,0,2,0,0,0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,1,152.5,2,276,,3.599999905
48,Texas,5035,08/10/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,144,15,63,66,49.5,224.1000061,241.1999969,1,16.10000038,2,0.400000006,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299999952,0,0,0,0,2,305,,3.700000048
48,Texas,5310,08/11/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,102,32,54,16,141.6000061,248.1999969,75.19999695,0,0,1,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,305,,3.700000048
48,Texas,5301,08/11/2014,2,0,0,0,0,0,0,0,0,0,0,0,0,122,24,36,62,84.59999847,132,228.8000031,0,0,2,0.699999988,244,0,0,0,0,0,0,1,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0.300000012,0,0,0,0,2,291,,3.700000048
48,Texas,5283,08/12/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,131,76,52,3,267.2000122,190,10.80000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,305,,3.599999905
48,Texas,5284,08/12/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,93,57,33,3,200.1000061,126,12.10000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.699999809,0,0,0,0,2,305,,3.700000048
45,South Carolina,5017,05/12/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,101,30,67,4,109,252.1999969,14.80000019,1,397,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160.1000061,,3.700000048
48,Texas,5328,03/24/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,138,11,71,56,40.70000076,255.3000031,208.8999939,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152.5,2,305,,3.700000048
41,Oregon,5022,06/09/2015,1,0,0,0,0,0,0,1.299999952,0,0,0,0,0,103,47,55,1,264.6000061,203.8000031,3.700000048,1,121.9000015,0,0,289.6000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.3000031,0,0,0,0,2,165.5,,3.700000048
41,Oregon,5005,06/11/2015,2,0,0,0,0,0,0,0,0,0,0,0,0,138,84,53,1,566.7000122,211.3000031,3.900000095,1,91.40000153,1,2.200000048,320.2000122,0,0,0,0,0,0,0,0,0,0,1,0,0,0.400000006,0,0,0,0,0,0.899999976,0,0,0,0,0,0,,4.300000191
41,Oregon,5021,06/10/2015,5,0,0,0,0,0,0,9.199999809,12.60000038,0,0,0,0,158,65,93,0,328,403.7000122,0,1,56.90000153,0,0,294.6000061,0,0,0,0,0,0,0,0,0,0,1,0,0,22.39999962,0,0,0,0,0,6.300000191,0,0,0,0,2,77.69999695,,4.300000191
51,Virginia,5009,05/18/2015,6,0,0,0,0,0,0,4.699999809,6.5,19.79999924,0,0,0,67,53,13,1,172.1000061,41.40000153,2.5,1,359.6000061,0,0,0,0,0,0,0,3,15,5,1.700000048,172.6000061,30,0,0,0,0,0,0,2,0,0,77.30000305,19.70000076,0.699999988,0,0,0,0,ONE AC PATCH ADDED TO SECTION SINCE LAST VISIT,3.700000048
45,South Carolina,5017,08/14/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,100,28,68,4,102.8000031,256.1000061,14.80000019,1,397,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160.1000061,,3.700000048
40,Oklahoma,4158,08/31/2015,1,0,0,0,0,0,,0,0,0,0,0,0,121,84,37,0,303.5,136.6000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
40,Oklahoma,4155,09/01/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,158,141,17,0,514.9000244,62.59999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152.5,,3.700000048
